index,Location_Center_X,Location_Center_Y,Metadata_Site,Metadata_Timepoint,Metadata_Well,track_id,unique_id,unique_time,Location_Center_Y_Zeroed,Location_Center_X_Zeroed,Classifier,flags
115,337.0485232,600.1687764,244,8,B3,3,WB3_S0244_E3,WB3_S0244_E3_T8,-17.30780204,7.777647443,C,None
116,339.4979592,596.9183673,244,9,B3,3,WB3_S0244_E3,WB3_S0244_E3_T9,-20.55821106,10.22708342,C,None
117,341.0741483,590.2685371,244,10,B3,3,WB3_S0244_E3,WB3_S0244_E3_T10,-27.20804134,11.80327253,C,None
118,342.2118126,586.7657841,244,11,B3,3,WB3_S0244_E3,WB3_S0244_E3_T11,-30.7107943,12.94093686,C,None
119,343.4137214,586.954262,244,12,B3,3,WB3_S0244_E3,WB3_S0244_E3_T12,-30.52231646,14.14284565,C,None
120,344.4147844,585.8110883,244,13,B3,3,WB3_S0244_E3,WB3_S0244_E3_T13,-31.66549012,15.14390863,C,None
121,348.1127049,584.8442623,244,14,B3,3,WB3_S0244_E3,WB3_S0244_E3_T14,-32.63231612,18.84182915,C,None
122,351.0645161,581.5423387,244,15,B3,3,WB3_S0244_E3,WB3_S0244_E3_T15,-35.9342397,21.79364037,C,None
123,352.6936759,578.1600791,244,16,B3,3,WB3_S0244_E3,WB3_S0244_E3_T16,-39.31649936,23.42280013,C,None
124,354.234714,575.7790927,244,17,B3,3,WB3_S0244_E3,WB3_S0244_E3_T17,-41.69748571,24.96383824,C,None
125,357.607767,574.6135922,244,18,B3,3,WB3_S0244_E3,WB3_S0244_E3_T18,-42.86298618,28.33689123,C,None
126,360.4294118,573.3784314,244,19,B3,3,WB3_S0244_E3,WB3_S0244_E3_T19,-44.09814704,31.158536,C,None
127,363.3085714,573.0685714,244,20,B3,3,WB3_S0244_E3,WB3_S0244_E3_T20,-44.40800698,34.03769566,C,None
128,363.3396226,572.854717,244,21,B3,3,WB3_S0244_E3,WB3_S0244_E3_T21,-44.62186143,34.06874688,C,None
129,365.4296435,570.6566604,244,22,B3,3,WB3_S0244_E3,WB3_S0244_E3_T22,-46.819918,36.15876776,C,None
130,370.9135338,567.2593985,244,23,B3,3,WB3_S0244_E3,WB3_S0244_E3_T23,-50.21717992,41.64265807,C,None
131,374.0127737,564.0547445,244,24,B3,3,WB3_S0244_E3,WB3_S0244_E3_T24,-53.42183389,44.74189796,C,None
